id,index_text
753,0
582,1
548,2
113,3
174,4
420,5
309,6
998,7
413,8
1054,9
1171,10
275,11
771,12
1135,13
415,14
478,15
609,16
168,17
332,18
933,19
490,20
906,21
1073,22
128,23
107,24
1136,25
43,26
1168,27
327,28
610,29
596,30
631,31
1205,32
534,33
597,34
220,35
911,36
198,37
743,38
985,39
231,40
865,41
1088,42
715,43
306,44
101,45
438,46
78,47
1223,48
49,49
936,50
736,51
243,52
868,53
1096,54
937,55
381,56
767,57
63,58
323,59
44,60
943,61
1098,62
482,63
575,64
254,65
529,66
286,67
992,68
123,69
76,70
218,71
1110,72
545,73
292,74
701,75
1226,76
844,77
363,78
811,79
754,80
266,81
904,82
958,83
590,84
1222,85
233,86
70,87
566,88
23,89
155,90
707,91
58,92
428,93
1008,94
1057,95
342,96
629,97
81,98
1127,99
1115,100
667,101
1052,102
551,103
772,104
196,105
1183,106
308,107
170,108
240,109
51,110
969,111
713,112
944,113
738,114
1150,115
1196,116
672,117
1143,118
839,119
54,120
677,121
730,122
630,123
56,124
86,125
649,126
277,127
109,128
613,129
855,130
953,131
1230,132
989,133
572,134
247,135
1090,136
573,137
265,138
660,139
1227,140
429,141
485,142
514,143
427,144
711,145
838,146
297,147
1156,148
777,149
1228,150
759,151
617,152
333,153
382,154
290,155
1030,156
1145,157
918,158
940,159
808,160
221,161
192,162
367,163
371,164
10,165
147,166
541,167
974,168
716,169
862,170
377,171
209,172
783,173
845,174
1179,175
1164,176
298,177
812,178
350,179
615,180
390,181
432,182
135,183
208,184
666,185
1094,186
1007,187
1147,188
289,189
158,190
140,191
1031,192
296,193
851,194
661,195
1133,196
764,197
1141,198
506,199
358,200
731,201
294,202
453,203
210,204
376,205
184,206
270,207
259,208
163,209
439,210
991,211
156,212
1124,213
990,214
365,215
816,216
199,217
553,218
1006,219
425,220
497,221
424,222
331,223
907,224
560,225
344,226
244,227
465,228
1180,229
1112,230
461,231
721,232
1018,233
874,234
591,235
549,236
538,237
96,238
486,239
922,240
178,241
31,242
778,243
910,244
361,245
523,246
869,247
728,248
803,249
644,250
813,251
88,252
636,253
679,254
380,255
755,256
430,257
1149,258
602,259
312,260
59,261
328,262
739,263
693,264
321,265
986,266
864,267
890,268
303,269
494,270
692,271
464,272
83,273
129,274
654,275
881,276
1218,277
774,278
260,279
561,280
873,281
932,282
1026,283
138,284
1153,285
141,286
1063,287
423,288
409,289
139,290
394,291
947,292
224,293
352,294
274,295
593,296
422,297
605,298
398,299
735,300
650,301
704,302
1097,303
519,304
970,305
923,306
718,307
1041,308
793,309
670,310
893,311
1108,312
39,313
30,314
242,315
1040,316
136,317
310,318
1029,319
451,320
1089,321
3,322
1022,323
843,324
1065,325
807,326
1119,327
785,328
1177,329
314,330
1080,331
319,332
411,333
996,334
5,335
100,336
673,337
536,338
770,339
858,340
1221,341
926,342
724,343
227,344
1075,345
554,346
765,347
1122,348
66,349
67,350
355,351
211,352
12,353
535,354
682,355
299,356
462,357
820,358
1107,359
585,360
1027,361
1170,362
543,363
567,364
1210,365
1152,366
599,367
832,368
273,369
888,370
362,371
237,372
532,373
2,374
6,375
901,376
311,377
1060,378
912,379
522,380
643,381
215,382
1011,383
27,384
1190,385
581,386
405,387
1037,388
589,389
756,390
1188,391
714,392
354,393
1208,394
528,395
256,396
291,397
25,398
336,399
435,400
47,401
318,402
106,403
850,404
55,405
552,406
213,407
120,408
908,409
620,410
787,411
72,412
410,413
818,414
920,415
533,416
467,417
