index_text,grade_BERT
0,2.98134446144104
1,2.363999128341675
2,3.207919120788574
3,3.1960387229919434
4,1.9787365198135376
5,3.6636147499084473
6,3.021261215209961
7,3.242642641067505
8,2.3769307136535645
9,3.311511278152466
10,2.9821417331695557
11,3.145151376724243
12,3.1888134479522705
13,3.411458969116211
14,3.070410966873169
15,3.382391929626465
16,1.166243553161621
17,1.6395686864852905
18,2.052880048751831
19,3.838069200515747
20,3.1294028759002686
21,2.933135509490967
22,3.1450648307800293
23,2.6881558895111084
24,2.5197603702545166
25,3.125558376312256
26,3.316771984100342
27,3.0913028717041016
28,3.9358503818511963
29,3.554612398147583
30,2.071153402328491
31,2.749044418334961
32,2.069308280944824
33,2.974991798400879
34,2.7097525596618652
35,2.913379430770874
36,3.333965539932251
37,3.4042859077453613
38,3.459963083267212
39,2.1170153617858887
40,3.2030141353607178
41,2.725036144256592
42,2.5896122455596924
43,3.846762180328369
44,3.110382556915283
45,2.7956204414367676
46,2.3660805225372314
47,2.1074845790863037
48,2.7366702556610107
49,3.008047103881836
50,3.350900411605835
51,3.160849094390869
52,3.4463887214660645
53,2.714272975921631
54,3.0744450092315674
55,3.35426664352417
56,3.035273551940918
57,3.294100522994995
58,2.8225855827331543
59,3.0627105236053467
60,3.572319746017456
61,2.9015421867370605
62,3.559778928756714
63,3.414264440536499
64,3.284677028656006
65,3.5076799392700195
66,3.023801803588867
67,3.220641613006592
68,1.8364946842193604
69,3.8613696098327637
70,2.1372053623199463
71,3.4933605194091797
72,1.9329103231430054
73,3.544855833053589
74,3.0029032230377197
75,3.2581450939178467
76,2.852626323699951
77,3.0871474742889404
78,2.719757556915283
79,3.704551935195923
80,3.4000184535980225
81,3.034252643585205
82,2.1528241634368896
83,3.185120105743408
84,3.068937063217163
85,1.73224937915802
86,3.094130754470825
87,3.317275047302246
88,3.055407762527466
89,3.509390115737915
90,3.593904495239258
91,3.505295991897583
92,0.8498842120170593
93,3.206245183944702
94,2.90183424949646
95,2.7692477703094482
96,3.121931314468384
97,3.1177849769592285
98,3.0351204872131348
99,3.141606330871582
100,3.0247738361358643
101,3.0252716541290283
102,3.114490270614624
103,3.383676052093506
104,3.04801082611084
105,3.111656427383423
106,3.0799832344055176
107,2.7676608562469482
108,2.915733814239502
109,3.2345430850982666
110,3.8040568828582764
111,2.9931397438049316
112,3.386514663696289
113,2.877507209777832
114,3.0997395515441895
115,2.224025249481201
116,3.867288589477539
117,3.1151649951934814
118,3.0242345333099365
119,3.1402106285095215
120,2.502842664718628
121,3.543062925338745
122,2.6027209758758545
123,2.6693825721740723
124,2.551832914352417
125,1.0510456562042236
126,3.3637239933013916
127,3.372357130050659
128,3.4470183849334717
129,3.534882068634033
130,3.375737190246582
131,2.0094492435455322
132,3.192577838897705
133,3.169191598892212
134,3.1156623363494873
135,2.981200695037842
136,3.2072081565856934
137,3.057074546813965
138,3.208261489868164
139,3.988821506500244
140,2.372016191482544
141,3.4180002212524414
142,4.514304161071777
143,3.6034417152404785
144,3.0057361125946045
145,2.8692855834960938
146,3.5874695777893066
147,3.4264633655548096
148,2.761537551879883
149,3.548595905303955
150,1.129706859588623
151,3.121168613433838
152,2.809474229812622
153,3.0641324520111084
154,3.2253992557525635
155,3.0910420417785645
156,2.3903703689575195
157,2.160325765609741
158,2.4910829067230225
159,2.439112901687622
160,3.6771490573883057
161,2.7855162620544434
162,2.6575419902801514
163,3.2679989337921143
164,3.413496255874634
165,2.357515573501587
166,2.896639823913574
167,3.2969515323638916
168,2.5949866771698
169,3.6612629890441895
170,2.767691135406494
171,2.5532679557800293
172,2.288770914077759
173,2.0684146881103516
174,3.8247992992401123
175,3.123440980911255
176,2.1413776874542236
177,3.358262062072754
178,3.4058613777160645
179,2.9174885749816895
180,2.856316089630127
181,3.1950814723968506
182,3.639723777770996
183,3.042786121368408
184,2.828521490097046
185,2.1212267875671387
186,3.401386022567749
187,1.260954737663269
188,1.906037449836731
189,2.968263864517212
190,0.8550212979316711
191,3.2103934288024902
192,3.600489377975464
193,3.135777235031128
194,3.50455904006958
195,3.620576858520508
196,3.0236330032348633
197,2.7811219692230225
198,3.1503806114196777
199,3.0393693447113037
200,2.9375312328338623
201,3.263519525527954
202,3.366649627685547
203,3.5342676639556885
204,2.72222638130188
205,3.2159476280212402
206,3.508492946624756
207,3.2145345211029053
208,1.8832813501358032
209,2.906895875930786
210,2.96512770652771
211,3.0942776203155518
212,2.8335633277893066
213,2.4813969135284424
214,3.108487129211426
215,3.3629543781280518
216,3.5093953609466553
217,3.351280689239502
218,3.3904716968536377
219,3.3661980628967285
220,3.2463724613189697
221,1.1482841968536377
222,3.2023420333862305
223,3.2558400630950928
224,2.8112952709198
225,4.29977560043335
226,3.4131410121917725
227,3.114011287689209
228,3.415410280227661
229,3.2006239891052246
230,3.452303409576416
231,3.189868688583374
232,3.607109546661377
233,3.499908685684204
234,2.6746132373809814
235,3.072664499282837
236,3.2455244064331055
237,3.5523340702056885
238,3.287306547164917
239,1.916150689125061
240,1.2733465433120728
241,2.6856870651245117
242,2.938974380493164
243,2.269717216491699
244,2.290951728820801
245,3.0093231201171875
246,2.561908006668091
247,2.7047009468078613
248,2.5608396530151367
249,3.1405189037323
250,3.361581802368164
251,3.242246627807617
252,0.9312291145324707
253,3.5203371047973633
254,3.914416551589966
255,2.946702718734741
256,2.552595615386963
257,3.3350162506103516
258,2.5601117610931396
259,2.9954991340637207
260,3.1083385944366455
261,1.5111116170883179
262,2.9516990184783936
263,3.6093647480010986
264,2.472805976867676
265,3.3010504245758057
266,3.197845935821533
267,3.4094655513763428
268,2.8007333278656006
269,3.286895275115967
270,2.7973296642303467
271,3.308885097503662
272,2.1031441688537598
273,1.789534568786621
274,2.8641326427459717
275,3.558263063430786
276,3.081873893737793
277,2.887382745742798
278,3.3201518058776855
279,3.3050549030303955
280,4.357160568237305
281,1.851577639579773
282,4.099642276763916
283,3.0801124572753906
284,3.3986308574676514
285,3.507343292236328
286,3.356205701828003
287,3.009955406188965
288,3.34515380859375
289,1.8383128643035889
290,2.6735825538635254
291,3.282271385192871
292,2.734938383102417
293,3.1474339962005615
294,3.702322244644165
295,3.789050340652466
296,3.056922197341919
297,3.042175054550171
298,3.325826644897461
299,2.986297130584717
300,3.31261944770813
301,0.7753797769546509
302,3.1369264125823975
303,3.1594326496124268
304,3.275404930114746
305,2.8784756660461426
306,3.200472116470337
307,3.0344417095184326
308,3.1705095767974854
309,3.337548017501831
310,2.6931705474853516
311,3.180595874786377
312,3.407074451446533
313,3.4953291416168213
314,3.2239830493927
315,2.6576650142669678
316,3.097034215927124
317,3.1456382274627686
318,2.9251768589019775
319,3.5296242237091064
320,3.1366302967071533
321,2.5931293964385986
322,3.120741844177246
323,3.1846649646759033
324,3.2531769275665283
325,2.691941261291504
326,2.985262870788574
327,3.4843862056732178
328,2.937436580657959
329,3.375865936279297
330,3.0205211639404297
331,3.4452157020568848
332,1.9401968717575073
333,3.243011236190796
334,2.496828556060791
335,3.5265321731567383
336,3.1901376247406006
337,3.6735024452209473
338,3.086832046508789
339,3.6912834644317627
340,3.0229203701019287
341,2.9170899391174316
342,1.5950511693954468
343,3.521252393722534
344,2.4750232696533203
345,2.513868570327759
346,2.796315908432007
347,2.3502612113952637
348,3.219846725463867
349,3.0878875255584717
350,3.349956512451172
351,2.15898060798645
352,3.5648534297943115
353,3.1882450580596924
354,3.225165605545044
355,3.0581703186035156
356,3.120694875717163
357,3.839569568634033
358,3.035696268081665
359,3.642287015914917
360,3.071800470352173
361,3.005647897720337
362,2.696821928024292
363,3.417263984680176
364,3.8997318744659424
365,1.7244559526443481
366,2.525139570236206
367,2.7499029636383057
368,3.307955741882324
369,3.673480987548828
370,2.954798460006714
371,2.980142831802368
372,2.9544169902801514
373,3.868285655975342
374,3.8666203022003174
375,2.8542845249176025
376,3.0046849250793457
377,3.756998300552368
378,3.5657567977905273
379,3.3464908599853516
380,2.9664580821990967
381,3.285719156265259
382,2.669678211212158
383,3.4664244651794434
384,3.0090296268463135
385,3.5421738624572754
386,3.0631392002105713
387,3.2083470821380615
388,2.3278160095214844
389,2.777097225189209
390,3.2886533737182617
391,2.385512590408325
392,3.182922840118408
393,3.0162482261657715
394,2.973564624786377
395,3.6245055198669434
396,3.5497477054595947
397,3.159123420715332
398,2.8922324180603027
399,2.9187276363372803
400,3.336879014968872
401,2.9216413497924805
402,3.5923190116882324
403,2.8376152515411377
404,1.8688485622406006
405,2.571382522583008
406,3.247661828994751
407,3.896340847015381
408,3.2507870197296143
