index_text,max_score,confidence_0,confidence_1,confidence_2,confidence_3,confidence_4,confidence_5
0,3,0.007172232028096914,0.04931214451789856,0.33320266008377075,0.5476281642913818,0.050057947635650635,0.012626932933926582
1,3,0.0038569446187466383,0.010550144128501415,0.0594816729426384,0.8508405685424805,0.06582813709974289,0.009442506358027458
2,3,0.008194934576749802,0.005644055083394051,0.017267251387238503,0.5802008509635925,0.3454033434391022,0.043289653956890106
3,3,0.0025311317294836044,0.004996022209525108,0.03265707567334175,0.8883876204490662,0.06425857543945312,0.007169608026742935
4,3,0.004941363353282213,0.003103869967162609,0.008297249674797058,0.6260907649993896,0.32725533843040466,0.030311428010463715
5,3,0.004661038983613253,0.006999724544584751,0.03503255918622017,0.7961761355400085,0.1372823268175125,0.019848313182592392
6,3,0.005051014479249716,0.0125979483127594,0.04750654846429825,0.7844842672348022,0.1292736530303955,0.021086618304252625
7,3,0.003507545217871666,0.004094836767762899,0.017293725162744522,0.7812305688858032,0.17795714735984802,0.015916092321276665
8,3,0.008953187614679337,0.06450474262237549,0.3980216979980469,0.48082342743873596,0.03519797697663307,0.01249895989894867
9,3,0.00705850962549448,0.007938971742987633,0.023443566635251045,0.6392395496368408,0.27347084879875183,0.048848509788513184
10,3,0.0028851551469415426,0.0036727292463183403,0.01845891773700714,0.8328291177749634,0.1301770955324173,0.011976931244134903
11,2,0.009107065387070179,0.07059179991483688,0.5221124291419983,0.3532692790031433,0.03371356800198555,0.011205787770450115
12,3,0.0027814949862658978,0.0030390482861548662,0.010128339752554893,0.7988006472587585,0.16716209053993225,0.01808849908411503
13,3,0.0037804811727255583,0.018280241638422012,0.12620419263839722,0.7841445803642273,0.058045364916324615,0.009545063599944115
14,3,0.002783792559057474,0.0034585220273584127,0.016987739130854607,0.8308290243148804,0.13529108464717865,0.010649848729372025
15,3,0.00287289684638381,0.005656100809574127,0.032503459602594376,0.880039632320404,0.07040371745824814,0.008524163626134396
16,3,0.007320978678762913,0.03742225840687752,0.17112164199352264,0.7039408683776855,0.06371578574180603,0.016478415578603745
17,3,0.002365025458857417,0.006185213569551706,0.03387600928544998,0.8712702393531799,0.07790473848581314,0.008398783393204212
18,3,0.004306321498006582,0.009076126851141453,0.058804500848054886,0.8380272388458252,0.0797932967543602,0.009992417879402637
19,3,0.008899998851120472,0.08270705491304398,0.29954004287719727,0.5391644835472107,0.05123995617032051,0.018448472023010254
20,3,0.002738658571615815,0.006087167654186487,0.03694974631071091,0.8823581337928772,0.06491031497716904,0.006956057623028755
21,3,0.0025471150875091553,0.003596333786845207,0.017119964584708214,0.8626078963279724,0.10426510125398636,0.0098636569455266
22,3,0.0028489879332482815,0.008067159913480282,0.0459459125995636,0.866665244102478,0.06822202354669571,0.00825074128806591
23,3,0.0030208826065063477,0.014510715380311012,0.10598528385162354,0.8280961513519287,0.0418122261762619,0.006574696861207485
24,3,0.003706298302859068,0.004195248708128929,0.015736253932118416,0.7905857563018799,0.16922369599342346,0.016552703455090523
25,3,0.0021731245797127485,0.0032699708826839924,0.016901439055800438,0.8775655031204224,0.0907260924577713,0.009364023804664612
26,3,0.002186636906117201,0.003045559162274003,0.012837130576372147,0.8716130256652832,0.09975942969322205,0.01055824663490057
27,3,0.009835666976869106,0.06530558317899704,0.3314898908138275,0.536953866481781,0.04419052600860596,0.012224451638758183
