index_text,confidence_0,confidence_1,confidence_2,confidence_3,confidence_4,confidence_5
0,0.002516667591407895,0.008469733409583569,0.20825716853141785,0.7440025806427002,0.03237839415669441,0.004375519696623087
1,0.002151892986148596,0.0070437174290418625,0.11171090602874756,0.8689755797386169,0.009435415267944336,0.0006825540331192315
2,0.002869528951123357,0.00013855657016392797,0.0007629403262399137,0.2603144943714142,0.6166174411773682,0.1192970871925354
3,0.0008241859613917768,0.0003973312850575894,0.008314969949424267,0.9242200255393982,0.06431731581687927,0.0019261533161625266
4,0.0008872567559592426,9.811342897592112e-05,0.0019990806467831135,0.7248374819755554,0.26310691237449646,0.00907121505588293
5,0.0008014961495064199,0.00044994219206273556,0.008943655528128147,0.8437680602073669,0.13387353718280792,0.012163191102445126
6,0.00090381084010005,0.0007503781234845519,0.00905690062791109,0.8142758011817932,0.16511677205562592,0.009896348230540752
7,0.0014731981791555882,0.00023587618488818407,0.0032566345762461424,0.766044557094574,0.2188391387462616,0.010150579735636711
8,0.001608536345884204,0.006195412948727608,0.0827888771891594,0.8985096216201782,0.010127372108399868,0.0007701118593104184
9,0.0008379078353755176,0.00014130939962342381,0.003597320755943656,0.5506176948547363,0.43275973200798035,0.012046106159687042
10,0.0010079130297526717,0.00011377778719179332,0.002551425015553832,0.4617220461368561,0.5157358646392822,0.018869010731577873
11,0.0019351892406120896,0.010083000175654888,0.27200159430503845,0.6968854665756226,0.017257429659366608,0.0018372711492702365
12,0.0007872582064010203,0.00019354559481143951,0.003216695971786976,0.9369953274726868,0.05617697536945343,0.0026301660109311342
13,0.0022719944827258587,0.0002582038287073374,0.003223707666620612,0.555945873260498,0.4069485068321228,0.031351737678050995
14,0.000417101924540475,0.0001495819742558524,0.008814334869384766,0.935229480266571,0.05442710965871811,0.0009623385267332196
15,0.0008969445480033755,0.00021777552319690585,0.003628773847594857,0.9071632027626038,0.08526870608329773,0.0028246825095266104
16,0.0005955951055511832,0.000792692881077528,0.012863768264651299,0.9448534250259399,0.039495959877967834,0.0013986184494569898
17,0.0010590284364297986,0.0003957658773288131,0.0068596648052334785,0.8836350440979004,0.10312962532043457,0.004920888226479292
18,0.002368523506447673,0.023781901225447655,0.31684738397598267,0.6526021957397461,0.00405969750136137,0.00034029752714559436
19,0.005930737126618624,0.10412434488534927,0.667161226272583,0.20441079139709473,0.012800097465515137,0.005572777707129717
20,0.0012657049810513854,0.00045352126471698284,0.0060499380342662334,0.9326184391975403,0.05758820101618767,0.0020241893362253904
21,0.0018071589292958379,0.00021348627342376858,0.0026744792703539133,0.7505697011947632,0.23516438901424408,0.009570762515068054
22,0.0004525919503066689,0.0007151789613999426,0.029633142054080963,0.9380642771720886,0.029849354177713394,0.0012854139786213636
23,0.0007712043006904423,0.0010424606734886765,0.028256749734282494,0.9345489144325256,0.033763471990823746,0.001617313944734633
24,0.0012390145566314459,0.00016950879944488406,0.002033705124631524,0.8284640908241272,0.15793737769126892,0.01015633437782526
25,0.001794495852664113,0.0002516086969990283,0.003632970619946718,0.6294340491294861,0.34968575835227966,0.015201176516711712
26,0.0005034599453210831,0.0008120380807667971,0.018290448933839798,0.969160795211792,0.010629474185407162,0.0006038026185706258
27,0.003128800541162491,0.01731911115348339,0.3528480529785156,0.6092626452445984,0.01570366695523262,0.0017377517651766539
