id,index_text
4,0
11,1
13,2
14,3
15,4
16,5
17,6
20,7
22,8
26,9
32,10
35,11
36,12
40,13
42,14
46,15
48,16
52,17
53,18
57,19
64,20
75,21
85,22
91,23
93,24
95,25
98,26
99,27
103,28
105,29
112,30
115,31
116,32
117,33
119,34
121,35
122,36
124,37
126,38
127,39
130,40
134,41
146,42
149,43
150,44
151,45
152,46
153,47
157,48
159,49
160,50
161,51
171,52
180,53
191,54
194,55
197,56
201,57
203,58
205,59
206,60
216,61
217,62
222,63
225,64
226,65
229,66
230,67
236,68
241,69
246,70
252,71
255,72
257,73
262,74
263,75
267,76
268,77
269,78
271,79
276,80
279,81
282,82
283,83
287,84
288,85
293,86
295,87
301,88
304,89
315,90
320,91
322,92
324,93
330,94
340,95
341,96
343,97
345,98
349,99
353,100
364,101
369,102
372,103
374,104
378,105
379,106
384,107
385,108
387,109
391,110
392,111
396,112
401,113
402,114
403,115
406,116
407,117
416,118
418,119
426,120
431,121
434,122
437,123
441,124
443,125
446,126
452,127
455,128
459,129
466,130
470,131
472,132
473,133
474,134
480,135
487,136
488,137
489,138
492,139
496,140
498,141
502,142
503,143
505,144
509,145
510,146
512,147
515,148
517,149
521,150
524,151
537,152
540,153
546,154
550,155
555,156
559,157
562,158
563,159
564,160
565,161
569,162
571,163
574,164
576,165
577,166
579,167
586,168
600,169
603,170
607,171
608,172
612,173
619,174
625,175
627,176
633,177
635,178
637,179
638,180
639,181
640,182
641,183
642,184
645,185
648,186
655,187
656,188
659,189
662,190
663,191
664,192
669,193
674,194
680,195
681,196
683,197
684,198
685,199
686,200
687,201
689,202
690,203
696,204
698,205
699,206
702,207
705,208
725,209
729,210
733,211
734,212
740,213
742,214
744,215
747,216
748,217
749,218
751,219
758,220
761,221
763,222
766,223
768,224
769,225
773,226
775,227
776,228
779,229
780,230
782,231
784,232
786,233
789,234
790,235
791,236
792,237
794,238
795,239
799,240
801,241
805,242
810,243
819,244
824,245
829,246
830,247
831,248
833,249
835,250
840,251
849,252
853,253
854,254
856,255
860,256
866,257
870,258
871,259
877,260
878,261
879,262
880,263
882,264
883,265
891,266
895,267
897,268
903,269
909,270
913,271
915,272
917,273
924,274
927,275
928,276
929,277
930,278
934,279
939,280
942,281
948,282
951,283
952,284
954,285
956,286
957,287
959,288
961,289
962,290
965,291
976,292
982,293
983,294
987,295
988,296
995,297
1000,298
1001,299
1005,300
1012,301
1014,302
1015,303
1016,304
1017,305
1019,306
1020,307
1024,308
1025,309
1028,310
1035,311
1038,312
1042,313
1044,314
1046,315
1047,316
1049,317
1050,318
1051,319
1056,320
1061,321
1062,322
1067,323
1070,324
1071,325
1076,326
1081,327
1082,328
1086,329
1087,330
1095,331
1103,332
1104,333
1109,334
1117,335
1120,336
1123,337
1126,338
1129,339
1130,340
1132,341
1138,342
1139,343
1142,344
1144,345
1146,346
1154,347
1155,348
1157,349
1159,350
1160,351
1163,352
1167,353
1169,354
1172,355
1175,356
1178,357
1182,358
1184,359
1192,360
1195,361
1199,362
1201,363
1204,364
1209,365
1212,366
1215,367
1224,368
1233,369
