size_features,soma_validacao,soma_teste,soma_teste_full,F1_validacao,KAPPA_validacao,feature_list
1,1.0598414812113037,1.0350153664534896,1.0517679442124348,0.5890806754221388,0.4707608057891649,['grade_BERT']
2,1.000658791658052,1.0581326807582065,1.0553706160897647,0.5655405583182046,0.43511823333984756,"['positive_words', 'grade_BERT']"
3,1.024491911135145,1.0478916967776235,1.064709766032889,0.5769230769230769,0.44756883421206795,"['positive_words', 'ortho_neighbors_avg_freq_skewness', 'grade_BERT']"
4,1.042166779610386,1.064709766032889,1.064709766032889,0.5830110242850001,0.459155755325386,"['positive_words', 'paragraph_count', 'ortho_neighbors_avg_freq_skewness', 'grade_BERT']"
5,1.0422570228265073,1.0234625632118313,1.0152496308143588,0.5829427706041765,0.4593142522223308,"['verbs_ambiguity', 'positive_words', 'paragraph_count', 'ortho_neighbors_avg_freq_skewness', 'grade_BERT']"
6,1.0300563291935814,1.031990180813756,1.0349317239553084,0.5814645740040287,0.44859175518955263,"['verbs_ambiguity', 'positive_words', 'paragraph_count', 'lex_freq_verbs_lemma_kurtosis', 'ortho_neighbors_avg_freq_skewness', 'grade_BERT']"
7,1.0711667316643485,1.0743172661780023,1.0710101027049632,0.598600704961298,0.47256602670305037,"['verbs_ambiguity', 'positive_words', 'paragraph_count', 'lex_freq_lemma_std', 'lex_freq_verbs_lemma_kurtosis', 'ortho_neighbors_avg_freq_skewness', 'grade_BERT']"
8,1.1122771341351152,1.0844429746472417,1.0744141833834924,0.6157368359185671,0.4965402982165481,"['verbs_ambiguity', 'positive_words', 'paragraph_count', 'word_lemma_length_median', 'lex_freq_lemma_std', 'lex_freq_verbs_lemma_kurtosis', 'ortho_neighbors_avg_freq_skewness', 'grade_BERT']"
9,1.035236042312869,1.107722842537069,1.1017256545029035,0.5859465737514518,0.44928946856141716,"['negation_ratio', 'verbs_ambiguity', 'positive_words', 'paragraph_count', 'word_lemma_length_median', 'lex_freq_lemma_std', 'lex_freq_verbs_lemma_kurtosis', 'ortho_neighbors_avg_freq_skewness', 'grade_BERT']"
10,1.0106086482431453,1.1086018502163664,1.107605689187677,0.5740040288103416,0.4366046194328038,"['negation_ratio', 'verbs_ambiguity', 'positive_words', 'paragraph_count', 'word_lemma_length_median', 'lex_freq_min', 'lex_freq_lemma_std', 'lex_freq_verbs_lemma_kurtosis', 'ortho_neighbors_avg_freq_skewness', 'grade_BERT']"
